player,position,team,age,club,birth_year
Luis Chávez,MF,Mexico,26,Pachuca,1996
Luis Suárez,FW,Uruguay,35,Nacional,1987
Luka Jović,FW,Serbia,24,Fiorentina,1997
Luka Modrić,MF,Croatia,37,Real Madrid,1985
Lukas Klostermann,DF,Germany,26,RB Leipzig,1996
Luke Shaw,DF,England,27,Manchester Utd,1995
Luuk de Jong,FW,Netherlands,32,PSV Eindhoven,1990
Majid Hosseini,DF,IR Iran,26,Kayserispor,1996
Manuel Akanji,DF,Switzerland,27,Manchester City,1995
Manuel Neuer,GK,Germany,36,Bayern Munich,1986
Marcelo Brozović,MF,Croatia,30,Inter,1992
Marco Asensio,FW,Spain,26,Real Madrid,1996
Marcos Acuña,DF,Argentina,31,Sevilla,1991
Marcos Llorente,DF,Spain,27,AtlÃ©tico Madrid,1995
Marcus Rashford,FW,England,25,Manchester Utd,1997
Marcus Thuram,FW,France,25,M'Gladbach,1997
Mario Götze,MF,Germany,30,Eint Frankfurt,1992
Mario Pašalić,FW,Croatia,27,Atalanta,1995
Mark-Anthony Kaye,MF,Canada,28,Toronto FC,1994
Marko Grujić,MF,Serbia,26,Porto,1996
Marko Livaja,FW,Croatia,29,Hajduk Split,1993
Marquinhos,DF,Brazil,28,Paris S-G,1994
Marten de Roon,MF,Netherlands,31,Atalanta,1991
Martin Braithwaite,FW,Denmark,31,Espanyol,1991
Martin Hongla,MF,Cameroon,24,Hellas Verona,1998
Martinelli,FW,Brazil,21,Arsenal,2001
Martín Cáceres,DF,Uruguay,35,LA Galaxy,1987
Mason Mount,MF,England,23,Chelsea,1999
Mateo Kovačić,MF,Croatia,28,Chelsea,1994
Matheus Nunes,MF,Portugal,24,Wolves,1998
Mathew Leckie,MF,Australia,31,Melb City,1991
Mathew Ryan,GK,Australia,30,FC Copenhagen,1992
Mathias Jensen,MF,Denmark,26,Brentford,1996
Mathías Olivera,DF,Uruguay,25,Napoli,1997
Matt Turner,GK,United States,28,Arsenal,1994
Matthias Ginter,DF,Germany,28,Freiburg,1994
Matthijs de Ligt,DF,Netherlands,23,Bayern Munich,1999
Matty Cash,DF,Poland,25,Aston Villa,1997
Mattéo Guendouzi,FW,France,23,Marseille,1999
Matías Vecino,MF,Uruguay,31,Lazio,1991
Matías Viña,DF,Uruguay,25,Roma,1997
Maxi Gómez,FW,Uruguay,26,Trabzonspor,1996
Maya Yoshida,DF,Japan,34,Schalke 04,1988
Mehdi Taremi,FW,IR Iran,30,Porto,1992
Mehdi Torabi,MF,IR Iran,28,Persepolis,1994
Memphis,FW,Netherlands,28,Barcelona,1994
Meshaal Barsham,GK,Qatar,24,Al Sadd SC,1998
Michael Estrada,FW,Ecuador,26,Cruz Azul,1996
Michał Skóraś,MF,Poland,22,Lech PoznaÅ„,2000
Michel Aebischer,MF,Switzerland,25,Bologna,1997
Michy Batshuayi,FW,Belgium,29,FenerbahÃ§e,1993
Miki Yamane,DF,Japan,28,Kawa Frontale,1993
Mikkel Damsgaard,MF,Denmark,22,Brentford,2000
Milad Mohammadi,DF,IR Iran,29,AEK Athens,1993
Milan Borjan,GK,Canada,35,Red Star,1987
Miloš Degenek,DF,Australia,28,Columbus Crew,1994
Miloš Veljković,DF,Serbia,27,Werder Bremen,1995
Mislav Oršić,FW,Croatia,29,Dinamo Zagreb,1992
Mitchell Duke,FW,Australia,31,Fagi Okayama,1991
Mohamed Ali Ben Romdhane,MF,Tunisia,23,EspÃ©rance de Tunis,1999
Mohamed Dräger,DF,Tunisia,26,Luzern,1996
Mohamed Kanno,MF,Saudi Arabia,28,Al-Hilal,1994
Mohammed Al-Breik,DF,Saudi Arabia,30,Al-Hilal,1992
Mohammed Al-Owais,GK,Saudi Arabia,31,Al-Hilal,1991
Mohammed Muntari,FW,Qatar,28,Al Duhail SC,1993
Mohammed Salisu,DF,Ghana,23,Southampton,1999
Mohammed Waad,MF,Qatar,23,Al Sadd SC,1999
Moisés Caicedo,MF,Ecuador,21,Brighton,2001
Montassar Talbi,DF,Tunisia,24,Lorient,1998
Morteza Pouraliganji,DF,IR Iran,30,Persepolis,1992
Moumi Ngamaleu,FW,Cameroon,28,Dynamo Mosc,1994
Munir,GK,Morocco,33,Al-Wehda,1989
Musab Kheder,DF,Qatar,29,Al Sadd SC,1993
Na Sang-ho,FW,Korea Republic,26,FC Seoul,1996
Nader Ghandri,DF,Tunisia,27,Club Africain,1995
Nahuel Molina,DF,Argentina,24,AtlÃ©tico Madrid,1998
Nampalys Mendy,MF,Senegal,30,Leicester City,1992
