player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,goals_per_shot_on_target
Bassam Al-Rawi,DF,Qatar,25,1997,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ben Davies,DF,Wales,29,1993,2.6,0,3,2,66.7,1.13,0.76,0.0,12.1,0.0,0,0,0.3,0.3,0.12,-0.3,-0.3,0.0
Benjamin Pavard,DF,France,26,1996,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Bernardo Silva,MF,Portugal,28,1994,4.0,0,1,0,0.0,0.25,0.0,0.0,10.7,0.0,0,0,0.2,0.2,0.18,-0.2,-0.2,
Bilal El Khannous,MF,Morocco,18,2004,0.6,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Borna Barišič,DF,Croatia,30,1992,1.3,0,1,0,0.0,0.75,0.0,0.0,24.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Borna Sosa,DF,Croatia,24,1998,4.7,0,2,0,0.0,0.42,0.0,0.0,28.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,
Boualem Khoukhi,DF,Qatar,32,1990,3.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Boulaye Dia,FW,Senegal,26,1996,3.5,1,8,3,37.5,2.26,0.85,0.13,14.2,0.0,0,0,0.7,0.7,0.09,0.3,0.3,0.33
Brandon Aguilera,MF,Costa Rica,19,2003,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Breel Embolo,FW,Switzerland,25,1997,3.6,2,6,3,50.0,1.67,0.84,0.33,10.5,0.0,0,0,2.3,2.3,0.38,-0.3,-0.3,0.67
Brenden Aaronson,MF,United States,22,2000,1.2,0,1,0,0.0,0.83,0.0,0.0,4.9,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Brennan Johnson,FW,Wales,21,2001,1.0,0,3,1,33.3,2.97,0.99,0.0,14.6,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,0.0
Bruno Fernandes,FW,Portugal,28,1994,4.0,2,7,2,28.6,1.77,0.51,0.14,24.5,0.0,1,1,1.1,0.3,0.05,0.9,0.7,0.5
Bruno Guimarães,MF,Brazil,25,1997,0.8,0,5,2,40.0,6.52,2.61,0.0,12.4,0.0,0,0,0.7,0.7,0.14,-0.7,-0.7,0.0
Bruno Petkovič,FW,Croatia,28,1994,2.6,1,1,1,100.0,0.38,0.38,1.0,16.2,0.0,0,0,0.1,0.1,0.12,0.9,0.9,1.0
